company,date,IQ_TOTAL_REV_target,IQ_TOTAL_REV_OLS
IQ1004737,2013-09-30,30.630005000000004,26.971727201058194
IQ100546355,2013-09-30,-8.227,-2.311218397567961
IQ100842126,2016-09-30,26.117847,24.923763300005465
IQ10214670,2012-03-31,10.588252,10.80701575769819
IQ1027520,2014-12-31,33.69444,35.97198447231013
IQ1028801,2018-07-31,13.844000000000003,13.660912085111512
IQ10320771,2015-06-30,13.626154999999997,7.0416430647790635
IQ1034090,2018-09-30,379.00957999999997,332.34909283878534
IQ10361568,2018-09-30,0.6141509999999994,1.490939292187207
IQ1047789,2018-09-30,3.456362000000001,4.445039423836823
IQ10580417,2012-12-31,0.05596999999999938,0.9802019076060644
IQ1059156,2018-06-30,159.33607,145.0866992479957
IQ1063939,2013-09-30,69.21526,46.34818455970948
IQ1067539,2015-03-31,14.339863000000001,16.378587450811782
IQ108544096,2017-09-30,17.01483,13.20681396980491
IQ11112316,2015-06-30,0.04332099999999943,0.9738505214555445
IQ111627254,2016-09-30,2.8026699999999996,3.519942089725133
IQ11211822,2013-09-30,7.233000000000001,8.102841987539593
IQ11253735,2012-06-30,0.1739999999999991,1.1061488334389247
IQ11253822,2017-03-31,0.8640000000000005,1.9347492399339394
IQ113354243,2018-06-30,1.6901240000000004,3.092997996706703
IQ114340051,2013-06-30,56.74186,56.6310653903487
IQ11515945,2018-09-30,4.6786959999999995,5.4880274565126115
IQ115833865,2012-03-31,0.49464399999999925,1.2366763971847483
IQ115898434,2014-09-30,5.3035250000000005,6.450790448454158
IQ1170872,2018-06-30,0.6855540000000008,1.5511042192492048
IQ1173571,2014-12-31,2.8743719999999997,4.3532540743196355
IQ117542163,2015-12-31,0.2923330000000003,1.8567119062988757
IQ118755593,2013-12-31,0.17521000000000017,1.138460834707326
IQ11920836,2017-06-30,4.443967,5.11919678628005
IQ1222537,2013-09-30,124.034424,121.92192039060589
IQ123214,2012-03-31,2.5305,3.57962684701124
IQ1239178,2012-06-30,0.04234500000000015,0.9378941104706688
IQ124507,2013-09-30,6.1617570000000015,6.977124763816868
IQ12504366,2017-06-30,6.130500000000001,7.871790986581957
IQ126218,2012-06-30,12.023044,13.453712340912842
IQ126475,2014-12-31,3251.8403,3903.9808134135005
IQ126979367,2014-03-31,0.09979700000000034,0.9606529406778374
IQ12703265,2012-12-31,5.531162,6.197529515882919
IQ12762127,2016-12-31,2.2784259999999987,2.7950219707116912
IQ127751764,2018-06-30,1.3374670000000002,2.043657837950565
IQ128534719,2018-09-30,429.3467,394.2440769536497
IQ129198892,2014-06-30,0.5371289999999999,1.2790231174449547
IQ130202001,2018-03-31,30.870844000000005,23.03306811678456
IQ130412190,2012-12-31,0.6019730000000004,1.7956391009519745
IQ131252193,2016-03-31,0.21315999999999918,1.2971423775625308
IQ13186617,2015-03-31,210.7271,217.54868897460977
IQ132105676,2015-03-31,0.06409599999999954,0.9755594580360809
IQ13229475,2017-03-31,9.198172999999999,9.670530233925254
IQ132688589,2018-09-30,0.011557000000000373,0.9392741002204522
IQ133434203,2015-12-31,0.0052650000000007925,0.947673879633674
IQ133674346,2015-03-31,2.660317000000001,4.706043906866893
IQ133827444,2015-03-31,5.1785,7.1090369399138895
IQ134733464,2012-06-30,0.1339220000000008,1.0650535610631513
IQ135285,2012-09-30,1816.3848,1754.071469302913
IQ1352992,2015-06-30,0.7520119999999997,1.754498964020226
IQ1353005,2017-06-30,5.487946,3.4540566766951257
IQ1355175,2014-12-31,2.0935000000000006,2.626461100767476
IQ135538,2013-12-31,3.2520000000000002,2.8020573067351915
IQ135688,2016-12-31,43.803146000000005,41.1812137908255
IQ13648841,2018-09-30,9.473,3.1289619390769925
IQ13720272,2016-12-31,4.3255,4.445948776158369
IQ1376045,2013-03-31,21.849415000000004,21.779349017406915
IQ137820,2013-06-30,1.707869,2.8467227210793418
IQ138820984,2015-12-31,0.11370200000000055,1.0640994115765852
IQ138891248,2016-09-30,1.005881,1.970259805739582
IQ139653,2013-03-31,5.166950000000001,6.260177245179029
IQ140453992,2017-03-31,0.08597499999999932,1.0022979058389734
IQ140988979,2018-09-30,138.45,134.0319407687682
IQ141249,2016-06-30,195.06734,204.70434027604713
IQ141929052,2013-12-31,0.0006739999999993054,0.8925172682412535
IQ142022,2014-12-31,0.5958449999999998,1.5435057649083528
IQ142214584,2018-09-30,2.1888430000000008,2.935759026078943
IQ143347932,2018-03-31,0.5593659999999995,2.3005782153959045
IQ143409328,2017-12-31,0.30100000000000077,1.300662728332798
IQ1444030,2015-12-31,6.898166000000002,6.975701453623313
IQ1522917,2018-09-30,5.1505,5.892742033140349
IQ153883,2014-06-30,4.341933999999999,5.306071182684652
IQ159857,2013-02-28,25.587000000000003,25.675001317138424
IQ159951597,2017-09-30,126.58833,111.12321221825835
IQ162594,2014-12-31,2.879769,3.691014303651628
IQ167882,2015-06-30,11.475903000000002,11.79151750680166
IQ169593511,2016-06-30,3.442838999999999,5.016997350234476
IQ1738021,2013-09-30,0.625849,1.5369506829837019
IQ181990929,2014-12-31,0.12151099999999974,1.0352819006589795
IQ182703199,2017-06-30,3.987147,4.861155901009363
IQ182773149,2015-03-31,0.3979710000000006,1.4952640975017406
IQ184527008,2018-03-31,0.18662399999999915,1.1315705622298904
IQ20333665,2018-09-30,5.233104999999999,7.757539228812055
IQ20342978,2014-03-31,1.2848130000000004,2.4174620316975095
IQ20343611,2013-12-31,2.1292780000000002,3.0837155034594534
IQ20344843,2013-03-31,0.8633790000000002,1.7036406987626065
