company,date,IQ_TOTAL_REV_target,IQ_TOTAL_REV_OLS
IQ419303,2016-12-31,8.327921,9.51551162286576
IQ419453,2018-09-30,0.9634069999999993,3.498148896775988
IQ419846,2013-12-31,0.5884769999999998,3.9905357965148402
IQ420199,2014-03-31,1.6557549999999992,4.950958352225431
IQ42081901,2018-09-30,1.0739580000000006,3.777122044949164
IQ42082419,2017-04-30,0.8040119999999997,3.6800395236723076
IQ4222700,2014-09-30,6.2400459999999995,9.018344477292539
IQ426137,2016-03-31,8.639654,11.221783089270172
IQ426193,2014-03-31,3.8286990000000007,6.908677394169242
IQ426193298,2018-07-31,0.9703250000000005,3.2603395048592287
IQ426471,2013-03-31,252.45168999999999,259.5287979973636
IQ427181,2017-10-31,17.160532,20.598384164950073
IQ428236982,2017-09-30,2.4438989999999996,6.015966446287433
IQ431958482,2018-06-30,142.76328999999998,178.3305732597027
IQ43246930,2013-03-31,132.23148999999998,122.18778860151073
IQ43257686,2016-06-30,6.935500000000001,8.139367811491173
IQ4422885,2017-03-31,0.21458699999999986,2.999809692492042
IQ4481283,2013-09-30,1.7995000000000005,4.72413946703617
IQ4481757,2015-09-30,105.64146000000001,104.31591349549151
IQ4493068,2013-09-30,93.71867999999999,199.68384544995848
IQ4493218,2018-09-30,28.014278000000004,31.70217451628856
IQ4509287,2018-09-30,6.6471860000000005,9.570919788049936
IQ4550716,2018-09-30,31.17868,22.105674142327715
IQ46107232,2018-04-30,0.6877050000000002,4.400744115773669
IQ46268435,2013-12-31,10.708252000000002,14.391355536609263
IQ46274613,2016-12-31,17.961515,20.14130499774732
IQ46476571,2017-03-31,4.312128999999999,7.047828500667771
IQ47267521,2015-03-31,2.0819990000000006,4.772746010372174
IQ47738410,2016-12-31,147.42926,159.26992167294918
IQ4803148,2014-09-30,2.2031050000000003,4.88433987392152
IQ48974524,2016-03-31,0.631256,3.464420708943247
IQ49121095,2018-09-30,0.9981059999999998,3.7905232399507787
IQ49553576,2012-03-31,0.22506199999999973,3.0474868697923485
IQ49613021,2017-09-30,0.8190619999999994,3.1281458981589227
IQ50208126,2016-07-31,2.4509999999999996,5.365506042050841
IQ5027273,2018-09-30,0.7616909999999997,3.162985079006467
IQ51119084,2018-09-30,2.1749610000000006,5.189130871701734
IQ51769988,2016-06-30,0.36490999999999985,3.2080864956079194
