,company,year,quarter,IQ_PRIV,IQ_PUB,IQ_TOTAL_REV_NEXT,FORECAST
892,IQ130202001,2014.0,Q4,0,1,23.199633000000006,20.76634
893,IQ596117,2016.0,Q4,0,1,3240.8416,3634.6943
894,IQ4484339,2017.0,Q4,1,0,2.8162949999999967,7.5630784
895,IQ143347932,2016.0,Q4,0,1,1.9012439999999913,4.836989
896,IQ323452,2016.0,Q4,0,1,3339.9640000000004,4078.414
897,IQ290203,2009.0,Q4,0,1,918.7249,956.67554
898,IQ9898268,2009.0,Q4,0,1,6.413648999999992,7.32585
899,IQ1716658,2017.0,Q4,0,1,101.30129000000001,76.96165
900,IQ183314894,2017.0,Q4,1,0,19.29661999999999,23.93086
901,IQ32543,2015.0,Q4,0,1,2.0458690000000104,4.4235826
902,IQ9950803,2017.0,Q4,0,1,1.7780480000000125,5.9250016
903,IQ320697408,2016.0,Q4,1,0,7.759745000000009,17.374372
904,IQ6234353,2011.0,Q4,0,1,6.521999999999991,9.160719
905,IQ6424985,2016.0,Q4,0,1,5.962420000000009,8.209211
906,IQ1657242,2003.0,Q4,1,0,24.260999999999996,35.032005
907,IQ23782495,2012.0,Q4,0,1,0.7536639999999863,5.326796
908,IQ4550716,2011.0,Q4,0,1,1.393999000000008,7.9756303
909,IQ62363673,2015.0,Q4,0,1,3.0958599999999876,5.517348
910,IQ382553,2012.0,Q4,0,1,8226.542,9532.182
911,IQ140422852,2014.0,Q4,1,0,13.75227000000001,7.2789903
912,IQ3017647,2005.0,Q3,1,0,12.764999999999986,12.690809
913,IQ206282786,2013.0,Q4,0,1,5.113499999999988,11.737486
914,IQ34384973,2009.0,Q4,0,1,0.6037259999999947,4.41075
915,IQ285640001,2015.0,Q4,0,1,7.542000000000002,7.6529984
916,IQ7877993,2008.0,Q4,0,1,4.710192000000006,9.169249
917,IQ9709633,2017.0,Q4,0,1,61.734364,95.271454
918,IQ23109814,2011.0,Q4,0,1,43.87017399999999,64.902565
919,IQ695656,2012.0,Q4,0,1,22.263742000000008,12.577909
920,IQ49553576,2013.0,Q4,0,1,1.552962000000008,4.4992204
921,IQ28388361,2009.0,Q3,0,1,0.36650000000000205,4.305022
922,IQ516368,2010.0,Q1,1,0,13.152999999999992,15.267378
923,IQ844579,2014.0,Q4,1,0,33.74114,38.258156
924,IQ6136592,2015.0,Q4,0,1,2.0560000000000116,25.74732
925,IQ877623,2017.0,Q4,0,1,17.67750000000001,11.82173
926,IQ275442,2015.0,Q4,0,1,7586.0,5967.068
927,IQ10524718,2010.0,Q4,0,1,25.14320400000001,48.109894
